review_url,author
/reviews/albums/11605-take-refuge-in-clean-living/,Jayson Greene
/reviews/albums/3447-make-it-pop/,Eric Carr
/reviews/albums/10461-wires-reply/,Jason Crock
/reviews/albums/9788-still-point-of-turning/,Mark Richardson
/reviews/albums/13459-crayon-angel-a-tribute-to-the-music-of-judee-sill/,Stephen M. Deusner
/reviews/albums/royce-59-the-allegory/,Jay Balfour
/reviews/albums/3718-put-your-gloves-on-and-wave/,Christopher F. Schiel
/reviews/albums/18616-black-devil-disco-club-black-moon-white-sun/,Nate Patrin
/reviews/albums/y-la-bamba-mujeres/,Philip Sherburne
/reviews/albums/5679-the-tourniquet/,Marc Hogan
/reviews/albums/19624-music-blues-things-havent-gone-well/,Andy O'Connor
/reviews/albums/gaye-su-akyol-istikrarli-hayal-hakikattir/,Andy Beta
/reviews/albums/18512-frankie-rose-herein-wild/,Ian Cohen
/reviews/albums/20205-dance-mania-ghetto-madness/,Meaghan Garvey
/reviews/albums/21043-fetty-wap/,Meaghan Garvey
/reviews/albums/2641-wind-up-canary/,Stephen M. Deusner
/reviews/albums/17756-fol-chen-the-false-alarms/,Zach Kelly
/reviews/albums/13643-unexpected-guests/,Ian Cohen
/reviews/albums/1156-brazilian-girls/,Nitsuh Abebe
/reviews/albums/21591-epic-jammers-and-fortunate-little-ditties/,Evan Minsker
/reviews/albums/12258-prehistoricisms/,Cosmo Lee
/reviews/albums/9250-surrounded/,Mark Pytlik
/reviews/albums/14977-by-the-hedge/,Larry Fitzmaurice
/reviews/albums/17172-cokefloat/,Ian Cohen
/reviews/albums/12693-u/,Joe Tangari
/reviews/albums/maximum-joy-i-cant-stand-it-here-on-quiet-nights-singles-1981-82/,Philip Sherburne
/reviews/albums/15349-swanlights-ep/,Nick Neyland
/reviews/albums/3203-in-the-wire-ep/,Kevin Adickes
/reviews/albums/various-artists-rocketman-music-from-the-motion-picture/,Stephen Thomas Erlewine
/reviews/albums/horse-jumper-of-love-so-divine/,Quinn Moreland
/reviews/albums/17512-oak-island/,Ian Cohen
/reviews/albums/6449-one-word-extinguisher/,Jascha Hoffman
/reviews/albums/tom-misch-yussef-dayes-what-kinda-music/,Jemima Skala
/reviews/albums/12053-daniel-variations/,Grayson Currin
/reviews/albums/11341-vainajan-muotokuva/,Andrew Gaerig
/reviews/albums/django-django-glowing-in-the-dark/,Marc Hogan
/reviews/albums/1520-come-here-when-you-sleepwalk/,Nicholas B. Sylvester
/reviews/albums/1713-39-minutes-of-bliss-in-an-otherwise-meaningless-world/,Amanda Petrusich
/reviews/albums/16956-melodica/,Nate Patrin
/reviews/albums/14730-holkham-drones/,Andrew Gaerig
/reviews/albums/9905-dressed-up-for-the-letdown/,Eric Harvey
/reviews/albums/8236-too-crazy-cowboys/,William Bowers
/reviews/albums/12842-the-hazards-of-love/,Marc Hogan
/reviews/albums/beach-house-b-sides-and-rarities/,Sasha Geffen
/reviews/albums/19206-sage-the-gemini-remember-me/,Craig Jenkins
/reviews/albums/14400-bonjour/,Joe Tangari
/reviews/albums/13450-eskimo-snow/,Ian Cohen
/reviews/albums/21381-the-sound-of-durban-vol-1/,Kevin Lozano
/reviews/albums/2003-the-third-unheard-connecticut-hip-hop-1979-1983/,Nick Sylvester
/reviews/albums/15000-the-king-is-dead/,Amanda Petrusich
/reviews/albums/3909-quit-or-fight/,Amanda Petrusich
/reviews/albums/gucci-mane-so-icy-summer/,Sheldon Pearce
/reviews/albums/20794-white-reaper-does-it-again/,Jason Heller
/reviews/albums/12371-uproot/,Mark Pytlik
/reviews/albums/12323-receivers/,Jason Crock
/reviews/albums/alexis-taylor-beautiful-thing/,Jesse Dorris
/reviews/albums/18222-amon-amarth-deceiver-of-the-gods/,Grayson Currin
/reviews/albums/10252-plague-park/,Jessica Suarez
/reviews/albums/beck-hyperspace/,Sam Sodomsky
/reviews/albums/9810-friend-opportunity/,Chris Dahlen
/reviews/albums/the-voidz-virtue/,Stuart Berman
/reviews/albums/23031-concrete-desert/,Nate Patrin
/reviews/albums/19112-shit-robot-we-got-a-love/,Nick Neyland
/reviews/albums/21129-blurse/,Andrew Gaerig
