review_tombstone_id,label
/reviews/albums/12927-lets-stay-together-im-still-in-love-with-you-greatest-hits/-2,Fat Possum
/reviews/albums/12927-lets-stay-together-im-still-in-love-with-you-greatest-hits/-2,Hi
/reviews/albums/nine-inch-nails-ghosts-v-together-ghosts-vi-locusts/-0,The Null Corporation
/reviews/albums/nine-inch-nails-ghosts-v-together-ghosts-vi-locusts/-1,The Null Corporation
/reviews/albums/13099-clean-hands-go-foul/-0,Hydra Head
/reviews/albums/sd-brian-fresco-muddbruddas/-0,HIPvision
/reviews/albums/david-bowie-david-bowie-5-brilliant-adventure-1992-2001/-0,Rhino
/reviews/albums/david-bowie-david-bowie-5-brilliant-adventure-1992-2001/-0,Parlophone
/reviews/albums/david-bowie-david-bowie-5-brilliant-adventure-1992-2001/-1,Rhino
/reviews/albums/david-bowie-david-bowie-5-brilliant-adventure-1992-2001/-1,Parlophone
/reviews/albums/david-bowie-david-bowie-5-brilliant-adventure-1992-2001/-2,Rhino
/reviews/albums/david-bowie-david-bowie-5-brilliant-adventure-1992-2001/-2,Parlophone
/reviews/albums/david-bowie-david-bowie-5-brilliant-adventure-1992-2001/-3,Rhino
/reviews/albums/david-bowie-david-bowie-5-brilliant-adventure-1992-2001/-3,Parlophone
/reviews/albums/david-bowie-david-bowie-5-brilliant-adventure-1992-2001/-4,Rhino
/reviews/albums/david-bowie-david-bowie-5-brilliant-adventure-1992-2001/-4,Parlophone
/reviews/albums/david-bowie-david-bowie-5-brilliant-adventure-1992-2001/-5,Rhino
/reviews/albums/david-bowie-david-bowie-5-brilliant-adventure-1992-2001/-5,Parlophone
/reviews/albums/david-bowie-david-bowie-5-brilliant-adventure-1992-2001/-6,Rhino
/reviews/albums/david-bowie-david-bowie-5-brilliant-adventure-1992-2001/-6,Parlophone
/reviews/albums/david-bowie-david-bowie-5-brilliant-adventure-1992-2001/-7,Rhino
/reviews/albums/david-bowie-david-bowie-5-brilliant-adventure-1992-2001/-7,Parlophone
/reviews/albums/david-bowie-david-bowie-5-brilliant-adventure-1992-2001/-8,Rhino
/reviews/albums/david-bowie-david-bowie-5-brilliant-adventure-1992-2001/-8,Parlophone
/reviews/albums/22717-forever/-0,Roadrunner
/reviews/albums/22923-in-between/-0,Bar/None
/reviews/albums/13576-wolfgang-amadeus-phoenix-remix-collection/-0,Glassnote
/reviews/albums/13576-wolfgang-amadeus-phoenix-remix-collection/-0,Loyauté
/reviews/albums/belle-and-sebastian-days-of-the-bagnold-summer-original-motion-picture-soundtrack/-0,Matador
/reviews/albums/139-pelo/-0,Hefty
/reviews/albums/14295-deathbed-4-ep/-0,Matador
/reviews/albums/cookiee-kawaii-vanice/-0,The Cookiee Jar
/reviews/albums/cookiee-kawaii-vanice/-0,EMPIRE
/reviews/albums/2403-will-you-still-love-me-ep/-0,Tree
/reviews/albums/nothing-the-great-dismal/-0,Relapse
/reviews/albums/grateful-dead-workingmans-dead-the-angels-share/-0,Rhino
/reviews/albums/grateful-dead-workingmans-dead-the-angels-share/-1,Rhino
/reviews/albums/mudhoney-digital-garbage/-0,Sub Pop
/reviews/albums/13034-relapse/-0,Aftermath
/reviews/albums/9669-love/-0,Capitol
/reviews/albums/19293-prins-thomas-prins-thomas-iii/-0,Full Pupp
/reviews/albums/7986-the-no-music/-0,Anticon
/reviews/albums/13885-the-courage-of-others/-0,Bella Union
/reviews/albums/4610-music-to-fall-asleep/-0,Kompakt
/reviews/albums/15110-buy-the-ticket-take-the-ride/-0,Mexican Summer
